Date,Team_One,Team_Two,Score
16/02/2024,FaZe,Eternal_Fire,2:0
15/02/2024,FaZe,G2,0:2
14/02/2024,FaZe,Falcons,13:7
14/02/2024,FaZe,9_Pandas,13:6
11/02/2024,FaZe,Spirit,0:3
10/02/2024,FaZe,MOUZ,2:0
09/02/2024,FaZe,G2,2:0
06/02/2024,FaZe,Spirit,0:2
04/02/2024,FaZe,Eternal_Fire,2:1
03/02/2024,FaZe,Rebels,2:0
27/01/2024,FaZe,Liquid,2:0
26/01/2024,FaZe,GamerLegion,2:1
25/01/2024,FaZe,Spirit,2:0
24/01/2024,FaZe,GamerLegion,0:2
17/12/2023,FaZe,Vitality,0:2
16/12/2023,FaZe,MOUZ,2:0
19/02/2024,Vitality,GamerLegion,13:2
05/02/2024,Vitality,Heroic,1:2
03/02/2024,Vitality,ENCE,1:2
27/01/2024,Vitality,Astralis,2:1
26/01/2024,Vitality,Falcons,2:1
23/01/2024,Vitality,Astralis,1:2
22/01/2024,Vitality,OG,2:0
17/12/2023,Vitality,FaZe,2:0
16/12/2023,Vitality,Natus_Vincere,2:0
14/12/2023,Vitality,Cloud9,2:0
13/12/2023,Vitality,Natus_Vincere,2:0
26/11/2023,Vitality,FaZe,2:0
25/11/2023,Vitality,Cloud9,2:1
23/11/2023,Vitality,Complexity,2:1
22/11/2023,Vitality,Heroic,2:0
16/10/2023,Vitality,FaZe,1:2
11/02/2024,Spirit,FaZe,3:0
10/02/2024,Spirit,Falcons,2:0
06/02/2024,Spirit,FaZe,2:0
04/02/2024,Spirit,Complexity,2:0
03/02/2024,Spirit,Natus_Vincere,2:1
01/02/2024,Spirit,TheMongolz,2:0
31/01/2024,Spirit,Apeks,13:0
25/01/2024,Spirit,FaZe,0:2
24/01/2024,Spirit,Liquid,1:2
20/01/2024,Spirit,MOUZ,2:0
19/01/2024,Spirit,Preasy,16:14
18/01/2024,Spirit,Entropiq,16:14
18/01/2024,Spirit,KOI,9:13
10/12/2023,Spirit,Virtus.pro,3:2
09/12/2023,Spirit,MIBR,2:0
08/12/2023,Spirit,FURIA,2:0
10/02/2024,MOUZ,FaZe,0:2
06/02/2024,MOUZ,ENCE,2:0
05/02/2024,MOUZ,GamerLegion,2:0
04/02/2024,MOUZ,Cloud9,2:1
20/01/2024,MOUZ,Preasy,2:1
20/01/2024,MOUZ,Spirit,0:2
19/01/2024,MOUZ,Eternal_Fire,1:2
18/01/2024,MOUZ,Heroic,16:12
18/01/2024,MOUZ,EYEBALLERS,13:8
16/12/2023,MOUZ,FaZe,0:2
15/12/2023,MOUZ,Cloud9,2:0
14/12/2023,MOUZ,Heroic,2:0
13/12/2023,MOUZ,G2,0:2
01/12/2023,MOUZ,FURIA,0:2
30/11/2023,MOUZ,Complexity,2:1
30/11/2023,MOUZ,Apeks,16:19
15/02/2024,G2,FaZe,2:0
14/02/2024,G2,Eternal_Fire,16:13
14/02/2024,G2,Into_the_Breach,13:3
09/02/2024,G2,FaZe,0:2
06/02/2024,G2,Heroic,2:0
06/02/2024,G2,Monte,2:1
05/02/2024,G2,ENCE,0:2
03/02/2024,G2,Heroic,2:1
28/01/2024,G2,Liquid,2:0
27/01/2024,G2,Natus_Vincere,0:2
26/01/2024,G2,Ninjas_in_Pyjamas,2:0
23/01/2024,G2,Natus_Vincere,1:2
22/01/2024,G2,Ninjas_in_Pyjamas,2:0
15/12/2023,G2,Natus_Vincere,1:2
14/12/2023,G2,FaZe,1:2
13/12/2023,G2,MOUZ,2:0
16/02/2024,Natus_Vincere,BetBoom,2:1
15/02/2024,Natus_Vincere,Virtus.pro,0:2
14/02/2024,Natus_Vincere,Enterprise,13:6
14/02/2024,Natus_Vincere,KOI,13:8
06/02/2024,Natus_Vincere,Falcons,0:2
05/02/2024,Natus_Vincere,Eternal_Fire,2:1
04/02/2024,Natus_Vincere,Apeks,2:1
03/02/2024,Natus_Vincere,Spirit,1:2
27/01/2024,Natus_Vincere,G2,2:0
23/01/2024,Natus_Vincere,G2,2:1
22/01/2024,Natus_Vincere,Complexity,2:0
19/01/2024,Natus_Vincere,Virtus.pro,2:0
18/01/2024,Natus_Vincere,9_Pandas,13:6
18/01/2024,Natus_Vincere,ECSTATIC,13:6
16/12/2023,Natus_Vincere,Vitality,0:2
15/12/2023,Natus_Vincere,G2,2:1
16/02/2024,Falcons,AMKAL,1:2
15/02/2024,Falcons,Eternal_Fire,5:13
14/02/2024,Falcons,FaZe,7:13
14/02/2024,Falcons,3DMAX,13:8
10/02/2024,Falcons,Spirit,0:2
09/02/2024,Falcons,ENCE,2:1
06/02/2024,Falcons,Natus_Vincere,2:0
05/02/2024,Falcons,Complexity,2:1
