Date,Team1,Team1_Position,Team1_Points,Team1_Win_Percentage,Team1_Rating,Team1_Kills_Per_Round,Team1_Deaths_Per_Round,Team1_Headshots,Team1_Rounds_Contributed,Team2,Team2_Position,Team2_Points,Team2_Win_Percentage,Team2_Rating,Team2_Kills_Per_Round,Team2_Deaths_Per_Round,Team2_Headshots,Team2_Rounds_Contributed,Score
16/02/2024,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,Eternal_Fire,16,189,65.0,1.09,0.68,0.64,50.0,72.58,1
15/02/2024,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,G2,5,445,60.0,1.06,0.66,0.65,50.42,72.06,0
14/02/2024,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,Falcons,7,399,46.2,1.03,0.66,0.67,50.9,70.88,1
14/02/2024,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,9_Pandas,26,55,53.8,1.06,0.66,0.65,50.38,72.44,1
11/02/2024,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,Spirit,3,634,71.4,1.19,0.72,0.6,46.4,76.28,0
10/02/2024,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,MOUZ,4,506,56.2,1.07,0.67,0.65,49.1,71.96,1
09/02/2024,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,G2,5,445,60.0,1.06,0.66,0.65,50.42,72.06,1
06/02/2024,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,Spirit,3,634,71.4,1.19,0.72,0.6,46.4,76.28,0
04/02/2024,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,Eternal_Fire,16,189,65.0,1.09,0.68,0.64,50.0,72.58,1
03/02/2024,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,Rebels,25,57,30.8,0.98,0.64,0.7,49.38,68.6,1
27/01/2024,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,Liquid,24,72,77.8,1.16,0.71,0.61,49.72,76.5,1
26/01/2024,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,GamerLegion,17,176,31.6,0.96,0.61,0.68,49.28,68.8,1
25/01/2024,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,Spirit,3,634,71.4,1.19,0.72,0.6,46.4,76.28,1
24/01/2024,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,GamerLegion,17,176,31.6,0.96,0.61,0.68,49.28,68.8,0
17/12/2023,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,Vitality,2,759,80.0,1.14,0.69,0.61,51.42,75.28,0
16/12/2023,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,MOUZ,4,506,56.2,1.07,0.67,0.65,49.1,71.96,1
19/02/2024,Vitality,2,759,80.0,1.14,0.69,0.61,51.42,75.28,GamerLegion,17,176,31.6,0.96,0.61,0.68,49.28,68.8,1
05/02/2024,Vitality,2,759,80.0,1.14,0.69,0.61,51.42,75.28,Heroic,15,190,56.5,1.1,0.69,0.65,51.2,73.28,0
03/02/2024,Vitality,2,759,80.0,1.14,0.69,0.61,51.42,75.28,ENCE,13,220,46.2,1.04,0.66,0.67,48.64,71.58,0
27/01/2024,Vitality,2,759,80.0,1.14,0.69,0.61,51.42,75.28,Astralis,18,156,50.0,1.07,0.66,0.64,48.9,72.12,1
26/01/2024,Vitality,2,759,80.0,1.14,0.69,0.61,51.42,75.28,Falcons,7,399,46.2,1.03,0.66,0.67,50.9,70.88,1
23/01/2024,Vitality,2,759,80.0,1.14,0.69,0.61,51.42,75.28,Astralis,18,156,50.0,1.07,0.66,0.64,48.9,72.12,0
17/12/2023,Vitality,2,759,80.0,1.14,0.69,0.61,51.42,75.28,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,1
16/12/2023,Vitality,2,759,80.0,1.14,0.69,0.61,51.42,75.28,Natus_Vincere,6,431,66.7,1.09,0.67,0.63,48.58,73.52,1
14/12/2023,Vitality,2,759,80.0,1.14,0.69,0.61,51.42,75.28,Cloud9,11,263,47.6,1.07,0.67,0.67,46.68,73.76,1
13/12/2023,Vitality,2,759,80.0,1.14,0.69,0.61,51.42,75.28,Natus_Vincere,6,431,66.7,1.09,0.67,0.63,48.58,73.52,1
26/11/2023,Vitality,2,759,80.0,1.14,0.69,0.61,51.42,75.28,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,1
25/11/2023,Vitality,2,759,80.0,1.14,0.69,0.61,51.42,75.28,Cloud9,11,263,47.6,1.07,0.67,0.67,46.68,73.76,1
23/11/2023,Vitality,2,759,80.0,1.14,0.69,0.61,51.42,75.28,Complexity,9,267,41.2,1.07,0.67,0.65,49.86,72.82,1
22/11/2023,Vitality,2,759,80.0,1.14,0.69,0.61,51.42,75.28,Heroic,15,190,56.5,1.1,0.69,0.65,51.2,73.28,1
16/10/2023,Vitality,2,759,80.0,1.14,0.69,0.61,51.42,75.28,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,0
