Team_Name,Player_Name,Rating,Kills_Per_Round,Deaths_Per_Round,Headshots,Rounds_Contributed,Maps_Played
FaZe,karrigan,0.92,0.56,0.71,54.9,69.2,48
FaZe,rain,1.08,0.67,0.67,64.3,71.3,48
FaZe,frozen,1.14,0.7,0.63,53.1,74.9,44
FaZe,ropz,1.15,0.74,0.62,55.0,75.5,48
FaZe,broky,1.13,0.72,0.61,35.9,74.1,48
Vitality,apEX,1.03,0.62,0.68,46.7,72.1,36
Vitality,ZywOo,1.39,0.87,0.55,41.8,77.6,36
Vitality,flameZ,1.13,0.67,0.61,51.7,76.4,36
Vitality,Spinx,1.16,0.72,0.62,55.7,76.3,36
Vitality,mezii,1.01,0.57,0.61,61.2,74.0,36
Spirit,chopper,1.0,0.6,0.65,56.5,72.7,41
Spirit,sh1ro,1.21,0.75,0.52,33.8,77.1,25
Spirit,magixx,1.09,0.6,0.56,51.5,77.2,36
Spirit,zont1x,1.14,0.67,0.63,35.0,76.6,41
Spirit,donk,1.49,1.0,0.66,55.2,77.8,36
MOUZ,Brollan,1.13,0.68,0.67,57.0,72.1,28
MOUZ,siuhy,0.95,0.62,0.7,49.7,69.0,34
MOUZ,torzsi,1.11,0.69,0.59,34.9,73.9,34
MOUZ,Jimpphat,1.08,0.69,0.61,52.9,73.5,34
MOUZ,xertioN,1.08,0.69,0.69,51.0,71.3,34
G2,NiKo,1.17,0.74,0.65,58.2,73.3,46
G2,huNter-,1.0,0.63,0.67,48.3,69.0,46
G2,nexa,0.97,0.58,0.65,53.1,73.0,46
G2,HooXi,0.9,0.54,0.7,54.9,69.2,46
G2,m0NESY,1.28,0.8,0.59,37.6,75.8,46
Natus_Vincere,Aleksib,0.95,0.56,0.66,43.9,73.4,47
Natus_Vincere,iM,1.11,0.7,0.66,46.1,71.0,47
Natus_Vincere,b1t,1.11,0.68,0.64,64.6,73.9,47
Natus_Vincere,jL,1.1,0.67,0.65,49.7,73.5,47
Natus_Vincere,w0nderful,1.16,0.73,0.56,38.6,75.8,47
Falcons,Snappi,0.85,0.52,0.7,53.5,66.6,28
Falcons,Magisk,1.1,0.68,0.65,52.4,73.1,28
Falcons,Maden,1.06,0.71,0.69,51.9,70.6,42
Falcons,SunPayus,1.11,0.7,0.6,35.2,74.4,42
Falcons,BOROS,1.05,0.71,0.71,61.5,69.7,28
Virtus.pro,mir,1.01,0.6,0.63,50.3,72.6,49
Virtus.pro,FL1T,1.21,0.71,0.6,47.7,75.5,49
Virtus.pro,Jame,1.16,0.67,0.5,34.2,76.7,49
Virtus.pro,n0rb3r7,1.13,0.67,0.64,49.6,74.8,49
Virtus.pro,fame,1.15,0.7,0.61,60.5,75.9,49
Complexity,EliGE,1.23,0.79,0.66,54.8,74.0,36
Complexity,JT,0.98,0.61,0.67,53.0,71.1,36
Complexity,floppy,1.06,0.63,0.64,50.2,73.8,36
Complexity,hallzerk,1.06,0.66,0.6,44.0,72.9,36
Complexity,Grim,1.04,0.67,0.69,47.3,72.3,36
Monte,sdy,1.2,0.77,0.63,51.6,74.3,29
Monte,br0,1.06,0.66,0.66,60.8,72.7,29
Monte,Woro2k,1.14,0.74,0.65,36.2,70.7,29
Monte,DemQQ,1.12,0.7,0.64,58.5,75.2,29
Monte,kRaSnaL,1.02,0.62,0.68,51.3,72.5,29
Cloud9,HObbit,1.04,0.67,0.68,47.0,71.3,47
Cloud9,electroNic,1.19,0.76,0.68,49.2,75.8,47
Cloud9,Boombl4,1.0,0.6,0.68,35.7,71.7,47
Cloud9,Ax1Le,1.06,0.65,0.69,52.5,73.5,47
Cloud9,Perfecto,1.08,0.67,0.6,49.0,76.5,47
Apeks,STYKO,1.02,0.66,0.67,61.9,70.7,19
Apeks,jkaem,1.08,0.67,0.71,59.7,69.0,46
Apeks,nawwk,1.14,0.72,0.54,42.1,74.1,46
Apeks,sense,0.9,0.54,0.68,46.8,67.8,46
Apeks,CacaNito,1.0,0.64,0.69,51.8,68.6,46
ENCE,gla1ve,0.99,0.59,0.64,53.6,71.8,30
ENCE,Goofy,1.03,0.63,0.69,41.0,74.1,39
ENCE,dycha,0.99,0.62,0.7,58.7,69.5,30
ENCE,hades,1.11,0.73,0.62,33.0,70.6,39
ENCE,Kylar,1.09,0.71,0.68,56.9,71.9,39
FURIA,FalleN,0.94,0.59,0.65,38.1,66.4,27
FURIA,chelo,1.02,0.67,0.68,60.1,70.7,27
FURIA,arT,0.96,0.6,0.72,52.7,69.0,27
FURIA,yuurih,1.02,0.64,0.66,46.6,70.7,27
FURIA,KSCERATO,1.12,0.71,0.62,49.8,74.3,27
Heroic,NertZ,1.14,0.7,0.66,51.0,73.2,47
Heroic,TeSeS,1.1,0.69,0.67,51.8,72.5,43
Heroic,nicoodoz,1.19,0.77,0.62,49.4,75.0,69
Heroic,sjuush,1.05,0.66,0.67,53.4,72.6,43
Heroic,kyxsan,1.04,0.64,0.65,50.4,73.1,60
Eternal_Fire,MAJ3R,0.95,0.56,0.62,46.2,69.6,38
Eternal_Fire,XANTARES,1.23,0.75,0.67,52.9,73.3,38
Eternal_Fire,woxic,1.13,0.71,0.59,35.4,73.1,38
Eternal_Fire,Calyx,1.02,0.64,0.62,61.4,73.2,38
Eternal_Fire,Wicadia,1.14,0.74,0.68,54.1,73.7,38
GamerLegion,Snax,0.97,0.63,0.69,49.2,69.0,40
GamerLegion,acoR,1.01,0.65,0.66,38.4,69.5,40
GamerLegion,Keoz,0.9,0.58,0.71,56.1,65.0,40
GamerLegion,isak,0.94,0.58,0.68,52.3,69.0,40
GamerLegion,volt,0.99,0.6,0.66,50.4,71.5,36
Astralis,device,1.12,0.68,0.62,36.3,72.5,34
Astralis,stavn,1.07,0.68,0.68,46.7,71.0,30
Astralis,blameF,1.13,0.68,0.6,44.5,73.9,34
Astralis,jabbi,1.03,0.66,0.65,62.1,70.5,30
Astralis,Staehr,1.01,0.62,0.65,54.9,72.7,34
BIG,tabseN,1.11,0.67,0.68,53.1,75.1,45
BIG,mantuu,1.14,0.71,0.59,34.8,75.1,45
BIG,prosus,1.11,0.72,0.68,54.4,73.7,45
BIG,Krimbo,1.17,0.69,0.53,48.7,77.0,45
BIG,s1n,1.03,0.6,0.66,56.2,73.8,45
MIBR,exit,1.05,0.61,0.59,53.9,75.5,40
MIBR,saffee,1.03,0.65,0.64,28.4,69.4,40
MIBR,drop,1.06,0.63,0.63,52.1,74.7,40
MIBR,brnz4n,1.06,0.68,0.68,60.8,69.8,40
MIBR,insani,1.14,0.71,0.65,54.9,73.0,40
BetBoom,zorte,1.1,0.73,0.67,41.4,72.1,41
BetBoom,nafany,0.92,0.6,0.76,55.1,67.3,41
BetBoom,s1ren,1.01,0.64,0.67,62.7,71.8,35
BetBoom,KaiR0N-,0.98,0.65,0.76,57.1,72.1,41
BetBoom,danistzz,0.99,0.63,0.7,62.5,70.7,41
HAVU,uli,0.99,0.6,0.66,62.3,66.8,10
HAVU,ottoNd,0.88,0.54,0.6,26.6,67.3,10
HAVU,Airax,0.98,0.66,0.79,47.4,68.3,10
HAVU,Banjo,0.93,0.61,0.73,49.6,65.3,10
TheMongolz,bLitz,1.17,0.72,0.65,51.2,74.2,46
TheMongolz,Techno,1.07,0.7,0.7,59.2,71.0,46
TheMongolz,Senzu,1.17,0.76,0.67,58.6,70.9,46
TheMongolz,mzinho,0.97,0.6,0.66,66.8,68.5,46
TheMongolz,910,1.08,0.69,0.63,31.7,72.0,46
Liquid,cadiaN,1.08,0.65,0.58,31.6,73.1,36
Liquid,NAF,1.25,0.77,0.59,47.3,79.8,30
Liquid,Twistzz,1.18,0.73,0.61,61.7,77.0,40
Liquid,YEKINDAR,1.18,0.72,0.64,56.9,74.8,30
Liquid,skullz,1.11,0.67,0.61,51.1,77.8,30
Rebels,casey,0.88,0.55,0.73,52.6,69.4,20
Rebels,olimp,1.07,0.71,0.7,52.5,68.6,31
Rebels,sNx,0.9,0.57,0.68,56.3,65.9,31
Rebels,Flayy,1.1,0.73,0.66,33.0,70.9,31
Rebels,kisserek,0.96,0.64,0.74,52.5,68.2,24
9_Pandas,seized,0.95,0.6,0.69,52.8,69.5,59
9_Pandas,clax,1.08,0.67,0.62,55.8,73.1,59
9_Pandas,iDISBALANCE,1.1,0.68,0.6,26.4,74.6,59
9_Pandas,glowiing,1.05,0.65,0.66,53.6,72.4,59
9_Pandas,d1Ledez,1.12,0.7,0.7,63.3,72.6,59
Ninjas_in_Pyjamas,alex,0.86,0.55,0.72,51.3,69.4,19
Ninjas_in_Pyjamas,es3tag,0.96,0.56,0.68,48.0,70.1,25
Ninjas_in_Pyjamas,k0nfig,1.02,0.71,0.72,62.1,66.6,25
Ninjas_in_Pyjamas,REZ,1.07,0.73,0.72,52.3,68.8,25
Ninjas_in_Pyjamas,headtr1ck,0.98,0.61,0.66,34.6,70.1,19
Preasy,dupreeh,1.07,0.72,0.71,56.5,70.2,47
Preasy,refrezh,1.12,0.72,0.65,51.9,75.0,73
Preasy,TMB,0.98,0.6,0.69,52.2,71.3,73
Preasy,roeJ,1.11,0.69,0.66,57.2,73.3,73
Preasy,Altekz,1.06,0.67,0.65,52.0,71.7,73
SAW,MUTiRiS,1.11,0.65,0.62,48.0,74.0,48
SAW,roman,0.98,0.59,0.65,56.3,70.3,48
SAW,story,1.18,0.72,0.59,36.7,73.9,48
SAW,ewjerkz,1.24,0.78,0.64,54.7,74.6,48
SAW,arrozdoce,1.13,0.68,0.62,55.1,74.5,48
3DMAX,hAdji,1.07,0.66,0.66,55.4,74.4,38
3DMAX,Maka,1.09,0.69,0.59,35.8,72.4,38
3DMAX,Lucky,1.07,0.64,0.64,42.4,73.1,38
3DMAX,Djoko,1.07,0.67,0.71,65.2,73.8,38
3DMAX,Ex3rcice,1.03,0.67,0.66,56.6,71.9,38
